home_team,away_team,home_goals,away_goals,result,season
Portsmouth,Aston Villa,2.0,2.0,D,2006-2007
Reading,Bolton Wanderers,1.0,0.0,H,2006-2007
Sheffield United,Charlton Athletic,2.0,1.0,H,2006-2007
Wigan Athletic,Liverpool,0.0,4.0,A,2006-2007
Middlesbrough,Manchester United,1.0,2.0,A,2006-2007
Everton,West Ham United,2.0,0.0,H,2006-2007
Manchester City,Watford,0.0,0.0,D,2006-2007
Charlton Athletic,Blackburn Rovers,1.0,0.0,H,2006-2007
Tottenham Hotspur,Middlesbrough,2.0,1.0,H,2006-2007
Newcastle United,Reading,3.0,2.0,H,2006-2007
West Ham United,Wigan Athletic,0.0,2.0,A,2006-2007
Manchester United,Manchester City,3.0,1.0,H,2006-2007
Blackburn Rovers,Newcastle United,1.0,3.0,A,2006-2007
Liverpool,Fulham,4.0,0.0,H,2006-2007
Middlesbrough,Wigan Athletic,1.0,1.0,D,2006-2007
Portsmouth,Everton,2.0,0.0,H,2006-2007
Tottenham Hotspur,Charlton Athletic,5.0,1.0,H,2006-2007
Watford,Reading,0.0,0.0,D,2006-2007
Bolton Wanderers,West Ham United,4.0,0.0,H,2006-2007
Chelsea,Arsenal,1.0,1.0,D,2006-2007
Sheffield United,Aston Villa,2.0,2.0,D,2006-2007
Chelsea,Newcastle United,1.0,0.0,H,2006-2007
Wigan Athletic,Arsenal,0.0,1.0,A,2006-2007
Charlton Athletic,Liverpool,0.0,3.0,A,2006-2007
Arsenal,Portsmouth,2.0,2.0,D,2006-2007
Newcastle United,Watford,2.0,1.0,H,2006-2007
Reading,Blackburn Rovers,1.0,2.0,A,2006-2007
Wigan Athletic,Sheffield United,0.0,1.0,A,2006-2007
Aston Villa,Bolton Wanderers,0.0,1.0,A,2006-2007
Everton,Chelsea,2.0,3.0,A,2006-2007
Manchester City,Tottenham Hotspur,1.0,2.0,A,2006-2007
West Ham United,Manchester United,1.0,0.0,H,2006-2007
Fulham,Middlesbrough,2.0,1.0,H,2006-2007
Fulham,West Ham United,0.0,0.0,D,2006-2007
Arsenal,Blackburn Rovers,6.0,2.0,H,2006-2007
Aston Villa,Manchester United,0.0,3.0,A,2006-2007
Liverpool,Watford,2.0,0.0,H,2006-2007
Manchester City,Bolton Wanderers,0.0,2.0,A,2006-2007
Middlesbrough,Charlton Athletic,2.0,0.0,H,2006-2007
Newcastle United,Tottenham Hotspur,3.0,1.0,H,2006-2007
Portsmouth,Sheffield United,3.0,1.0,H,2006-2007
Reading,Everton,0.0,2.0,A,2006-2007
Wigan Athletic,Chelsea,2.0,3.0,A,2006-2007
Chelsea,Reading,2.0,2.0,D,2006-2007
Tottenham Hotspur,Aston Villa,2.0,1.0,H,2006-2007
West Ham United,Portsmouth,1.0,2.0,A,2006-2007
Blackburn Rovers,Liverpool,1.0,0.0,H,2006-2007
Bolton Wanderers,Newcastle United,2.0,1.0,H,2006-2007
Everton,Middlesbrough,0.0,0.0,D,2006-2007
Manchester United,Wigan Athletic,3.0,1.0,H,2006-2007
Sheffield United,Manchester City,0.0,1.0,A,2006-2007
Watford,Arsenal,1.0,2.0,A,2006-2007
Charlton Athletic,Fulham,2.0,2.0,D,2006-2007
Charlton Athletic,Aston Villa,2.0,1.0,H,2006-2007
Blackburn Rovers,Middlesbrough,2.0,1.0,H,2006-2007
Bolton Wanderers,Portsmouth,3.0,2.0,H,2006-2007
Chelsea,Fulham,2.0,2.0,D,2006-2007
Everton,Newcastle United,3.0,0.0,H,2006-2007
Manchester United,Reading,3.0,2.0,H,2006-2007
Tottenham Hotspur,Liverpool,0.0,1.0,A,2006-2007
West Ham United,Manchester City,0.0,1.0,A,2006-2007
Sheffield United,Arsenal,1.0,0.0,H,2006-2007
Liverpool,Bolton Wanderers,3.0,0.0,H,2006-2007
Fulham,Watford,0.0,0.0,D,2006-2007
Manchester City,Everton,2.0,1.0,H,2006-2007
Middlesbrough,Sheffield United,3.0,1.0,H,2006-2007
Portsmouth,Tottenham Hotspur,1.0,1.0,D,2006-2007
Reading,West Ham United,6.0,0.0,H,2006-2007
Wigan Athletic,Blackburn Rovers,0.0,3.0,A,2006-2007
Newcastle United,Manchester United,2.0,2.0,D,2006-2007
Arsenal,Charlton Athletic,4.0,0.0,H,2006-2007
Aston Villa,Chelsea,0.0,0.0,D,2006-2007
Watford,Liverpool,0.0,3.0,A,2006-2007
Bolton Wanderers,Manchester City,0.0,0.0,D,2006-2007
Charlton Athletic,Middlesbrough,1.0,3.0,A,2006-2007
Chelsea,Wigan Athletic,4.0,0.0,H,2006-2007
Manchester United,Aston Villa,3.0,1.0,H,2006-2007
Sheffield United,Portsmouth,1.0,1.0,D,2006-2007
West Ham United,Fulham,3.0,3.0,D,2006-2007
Blackburn Rovers,Arsenal,0.0,2.0,A,2006-2007
Everton,Reading,1.0,1.0,D,2006-2007
Tottenham Hotspur,Newcastle United,2.0,3.0,A,2006-2007
Liverpool,Chelsea,2.0,0.0,H,2006-2007
Aston Villa,Watford,2.0,0.0,H,2006-2007
Fulham,Tottenham Hotspur,1.0,1.0,D,2006-2007
Middlesbrough,Bolton Wanderers,5.0,1.0,H,2006-2007
Newcastle United,West Ham United,2.0,2.0,D,2006-2007
Portsmouth,Charlton Athletic,0.0,1.0,A,2006-2007
Reading,Sheffield United,3.0,1.0,H,2006-2007
Manchester City,Blackburn Rovers,0.0,3.0,A,2006-2007
Wigan Athletic,Everton,0.0,2.0,A,2006-2007
Arsenal,Manchester United,2.0,1.0,H,2006-2007
Watford,Blackburn Rovers,2.0,1.0,H,2006-2007
Portsmouth,Middlesbrough,0.0,0.0,D,2006-2007
Sheffield United,Fulham,2.0,0.0,H,2006-2007
West Ham United,Liverpool,1.0,2.0,A,2006-2007
Reading,Wigan Athletic,3.0,2.0,H,2006-2007
Chelsea,Blackburn Rovers,3.0,0.0,H,2006-2007
Bolton Wanderers,Charlton Athletic,1.0,1.0,D,2006-2007
Manchester United,Watford,4.0,0.0,H,2006-2007
Newcastle United,Aston Villa,3.0,1.0,H,2006-2007
Liverpool,Everton,0.0,0.0,D,2006-2007
Aston Villa,West Ham United,1.0,0.0,H,2006-2007
Blackburn Rovers,Sheffield United,2.0,1.0,H,2006-2007
Charlton Athletic,Chelsea,0.0,1.0,A,2006-2007
Fulham,Newcastle United,2.0,1.0,H,2006-2007
Manchester City,Reading,0.0,2.0,A,2006-2007
Watford,Bolton Wanderers,0.0,1.0,A,2006-2007
Wigan Athletic,Portsmouth,1.0,0.0,H,2006-2007
Middlesbrough,Arsenal,1.0,1.0,D,2006-2007
Tottenham Hotspur,Manchester United,0.0,4.0,A,2006-2007
Reading,Aston Villa,2.0,0.0,H,2006-2007
Chelsea,Middlesbrough,3.0,0.0,H,2006-2007
Everton,Blackburn Rovers,1.0,0.0,H,2006-2007
Manchester United,Charlton Athletic,2.0,0.0,H,2006-2007
Newcastle United,Liverpool,2.0,1.0,H,2006-2007
Sheffield United,Tottenham Hotspur,2.0,1.0,H,2006-2007
West Ham United,Watford,0.0,1.0,A,2006-2007
Portsmouth,Manchester City,2.0,1.0,H,2006-2007
Bolton Wanderers,Fulham,2.0,1.0,H,2006-2007
Arsenal,Wigan Athletic,2.0,1.0,H,2006-2007
Watford,Wigan Athletic,1.0,1.0,D,2006-2007
Everton,Tottenham Hotspur,1.0,2.0,A,2006-2007
Fulham,Manchester United,1.0,2.0,A,2006-2007
Charlton Athletic,West Ham United,4.0,0.0,H,2006-2007
Liverpool,Sheffield United,4.0,0.0,H,2006-2007
Middlesbrough,Reading,2.0,1.0,H,2006-2007
Watford,Everton,0.0,3.0,A,2006-2007
Wigan Athletic,Newcastle United,1.0,0.0,H,2006-2007
Blackburn Rovers,Portsmouth,3.0,0.0,H,2006-2007
Tottenham Hotspur,Bolton Wanderers,4.0,1.0,H,2006-2007
Liverpool,Manchester United,0.0,1.0,A,2006-2007
Arsenal,Reading,2.0,1.0,H,2006-2007
Fulham,Aston Villa,1.0,1.0,D,2006-2007
Manchester City,Wigan Athletic,0.0,1.0,A,2006-2007
Newcastle United,Middlesbrough,0.0,0.0,D,2006-2007
Sheffield United,Everton,1.0,1.0,D,2006-2007
Watford,Charlton Athletic,2.0,2.0,D,2006-2007
Portsmouth,Chelsea,0.0,2.0,A,2006-2007
Bolton Wanderers,Blackburn Rovers,1.0,2.0,A,2006-2007
West Ham United,Tottenham Hotspur,3.0,4.0,A,2006-2007
Aston Villa,Arsenal,0.0,1.0,A,2006-2007
Manchester City,Chelsea,0.0,1.0,A,2006-2007
Manchester United,Bolton Wanderers,4.0,1.0,H,2006-2007
Chelsea,Sheffield United,3.0,0.0,H,2006-2007
Middlesbrough,Manchester City,0.0,2.0,A,2006-2007
Reading,Portsmouth,0.0,0.0,D,2006-2007
Tottenham Hotspur,Watford,3.0,1.0,H,2006-2007
Wigan Athletic,Fulham,0.0,0.0,D,2006-2007
Blackburn Rovers,West Ham United,1.0,2.0,A,2006-2007
Charlton Athletic,Newcastle United,2.0,0.0,H,2006-2007
Aston Villa,Liverpool,0.0,0.0,D,2006-2007
Everton,Arsenal,1.0,0.0,H,2006-2007
Liverpool,Arsenal,4.0,1.0,H,2006-2007
Bolton Wanderers,Sheffield United,1.0,0.0,H,2006-2007
Charlton Athletic,Wigan Athletic,1.0,0.0,H,2006-2007
Fulham,Portsmouth,1.0,1.0,D,2006-2007
Manchester United,Blackburn Rovers,4.0,1.0,H,2006-2007
Newcastle United,Manchester City,0.0,1.0,A,2006-2007
West Ham United,Middlesbrough,2.0,0.0,H,2006-2007
Watford,Chelsea,0.0,1.0,A,2006-2007
Tottenham Hotspur,Reading,1.0,0.0,H,2006-2007
Aston Villa,Everton,1.0,1.0,D,2006-2007
Manchester City,Charlton Athletic,0.0,0.0,D,2006-2007
Everton,Fulham,4.0,1.0,H,2006-2007
Chelsea,Tottenham Hotspur,1.0,0.0,H,2006-2007
Arsenal,West Ham United,0.0,1.0,A,2006-2007
Blackburn Rovers,Aston Villa,1.0,2.0,A,2006-2007
Middlesbrough,Watford,4.0,1.0,H,2006-2007
Reading,Liverpool,1.0,2.0,A,2006-2007
Sheffield United,Newcastle United,1.0,2.0,A,2006-2007
Wigan Athletic,Bolton Wanderers,1.0,3.0,A,2006-2007
Portsmouth,Manchester United,2.0,1.0,H,2006-2007
Watford,Portsmouth,4.0,2.0,H,2006-2007
Aston Villa,Wigan Athletic,1.0,1.0,D,2006-2007
Bolton Wanderers,Everton,1.0,1.0,D,2006-2007
Fulham,Manchester City,1.0,3.0,A,2006-2007
Newcastle United,Arsenal,0.0,0.0,D,2006-2007
Charlton Athletic,Reading,0.0,0.0,D,2006-2007
Arsenal,Bolton Wanderers,2.0,1.0,H,2006-2007
Manchester City,Liverpool,0.0,0.0,D,2006-2007
Middlesbrough,Aston Villa,1.0,3.0,A,2006-2007
Portsmouth,Newcastle United,2.0,1.0,H,2006-2007
Reading,Fulham,1.0,0.0,H,2006-2007
Sheffield United,West Ham United,3.0,0.0,H,2006-2007
Wigan Athletic,Tottenham Hotspur,3.0,3.0,D,2006-2007
Everton,Charlton Athletic,2.0,1.0,H,2006-2007
Arsenal,Manchester City,3.0,1.0,H,2006-2007
Manchester United,Sheffield United,2.0,0.0,H,2006-2007
Blackburn Rovers,Watford,3.0,1.0,H,2006-2007
Liverpool,Middlesbrough,2.0,0.0,H,2006-2007
West Ham United,Chelsea,1.0,4.0,A,2006-2007
Tottenham Hotspur,Arsenal,2.0,2.0,D,2006-2007
Bolton Wanderers,Reading,1.0,3.0,A,2006-2007
Charlton Athletic,Sheffield United,1.0,1.0,D,2006-2007
Fulham,Blackburn Rovers,1.0,1.0,D,2006-2007
Liverpool,Wigan Athletic,2.0,0.0,H,2006-2007
Watford,Manchester City,1.0,1.0,D,2006-2007
West Ham United,Everton,1.0,0.0,H,2006-2007
Manchester United,Middlesbrough,1.0,1.0,D,2006-2007
Newcastle United,Chelsea,0.0,0.0,D,2006-2007
Aston Villa,Portsmouth,0.0,0.0,D,2006-2007
Chelsea,Bolton Wanderers,2.0,2.0,D,2006-2007
Everton,Manchester United,2.0,4.0,A,2006-2007
Blackburn Rovers,Charlton Athletic,4.0,1.0,H,2006-2007
Manchester City,Aston Villa,0.0,2.0,A,2006-2007
Middlesbrough,Tottenham Hotspur,2.0,3.0,A,2006-2007
Portsmouth,Liverpool,2.0,1.0,H,2006-2007
Sheffield United,Watford,1.0,0.0,H,2006-2007
Wigan Athletic,West Ham United,0.0,3.0,A,2006-2007
Arsenal,Fulham,3.0,1.0,H,2006-2007
Reading,Newcastle United,1.0,0.0,H,2006-2007
Manchester City,Manchester United,0.0,1.0,A,2006-2007
Everton,Portsmouth,3.0,0.0,H,2006-2007
Fulham,Liverpool,1.0,0.0,H,2006-2007
Newcastle United,Blackburn Rovers,0.0,2.0,A,2006-2007
Reading,Watford,0.0,2.0,A,2006-2007
West Ham United,Bolton Wanderers,3.0,1.0,H,2006-2007
Wigan Athletic,Middlesbrough,0.0,1.0,A,2006-2007
Aston Villa,Sheffield United,3.0,0.0,H,2006-2007
Arsenal,Chelsea,1.0,1.0,D,2006-2007
Charlton Athletic,Tottenham Hotspur,0.0,2.0,A,2006-2007
Chelsea,Manchester United,0.0,0.0,D,2006-2007
Tottenham Hotspur,Blackburn Rovers,1.0,1.0,D,2006-2007
Blackburn Rovers,Reading,3.0,3.0,D,2006-2007
Bolton Wanderers,Aston Villa,2.0,2.0,D,2006-2007
Chelsea,Everton,1.0,1.0,D,2006-2007
Liverpool,Charlton Athletic,2.0,2.0,D,2006-2007
Manchester United,West Ham United,0.0,1.0,A,2006-2007
Middlesbrough,Fulham,3.0,1.0,H,2006-2007
Portsmouth,Arsenal,0.0,0.0,D,2006-2007
Sheffield United,Wigan Athletic,1.0,2.0,A,2006-2007
Tottenham Hotspur,Manchester City,2.0,1.0,H,2006-2007
Watford,Newcastle United,1.0,1.0,D,2006-2007
Sunderland,Tottenham Hotspur,1.0,0.0,H,2007-2008
Bolton Wanderers,Newcastle United,1.0,3.0,A,2007-2008
Derby County,Portsmouth,2.0,2.0,D,2007-2008
Everton,Wigan Athletic,2.0,1.0,H,2007-2008
Middlesbrough,Blackburn Rovers,1.0,2.0,A,2007-2008
West Ham United,Manchester City,0.0,2.0,A,2007-2008
Aston Villa,Liverpool,1.0,2.0,A,2007-2008
Arsenal,Fulham,2.0,1.0,H,2007-2008
Chelsea,Birmingham City,3.0,2.0,H,2007-2008
Manchester United,Reading,0.0,0.0,D,2007-2008
Tottenham Hotspur,Everton,1.0,3.0,A,2007-2008
Birmingham City,Sunderland,2.0,2.0,D,2007-2008
Fulham,Bolton Wanderers,2.0,1.0,H,2007-2008
Manchester City,Derby County,1.0,0.0,H,2007-2008
Portsmouth,Manchester United,1.0,1.0,D,2007-2008
Reading,Chelsea,1.0,2.0,A,2007-2008
Wigan Athletic,Middlesbrough,1.0,0.0,H,2007-2008
Portsmouth,Bolton Wanderers,3.0,1.0,H,2007-2008
Birmingham City,West Ham United,0.0,1.0,A,2007-2008
Fulham,Middlesbrough,1.0,2.0,A,2007-2008
Reading,Everton,1.0,0.0,H,2007-2008
Tottenham Hotspur,Derby County,4.0,0.0,H,2007-2008
Wigan Athletic,Sunderland,3.0,0.0,H,2007-2008
Newcastle United,Aston Villa,0.0,0.0,D,2007-2008
Manchester City,Manchester United,1.0,0.0,H,2007-2008
Blackburn Rovers,Arsenal,1.0,1.0,D,2007-2008
Liverpool,Chelsea,1.0,1.0,D,2007-2008
Sunderland,Liverpool,0.0,2.0,A,2007-2008
Arsenal,Manchester City,1.0,0.0,H,2007-2008
Aston Villa,Fulham,2.0,1.0,H,2007-2008
Bolton Wanderers,Reading,3.0,0.0,H,2007-2008
Chelsea,Portsmouth,1.0,0.0,H,2007-2008
Derby County,Birmingham City,1.0,2.0,A,2007-2008
West Ham United,Wigan Athletic,1.0,1.0,D,2007-2008
Everton,Blackburn Rovers,1.0,1.0,D,2007-2008
Middlesbrough,Newcastle United,2.0,2.0,D,2007-2008
Manchester United,Tottenham Hotspur,1.0,0.0,H,2007-2008
Bolton Wanderers,Everton,1.0,2.0,A,2007-2008
Fulham,Tottenham Hotspur,3.0,3.0,D,2007-2008
Liverpool,Derby County,6.0,0.0,H,2007-2008
Middlesbrough,Birmingham City,2.0,0.0,H,2007-2008
Newcastle United,Wigan Athletic,1.0,0.0,H,2007-2008
Reading,West Ham United,0.0,3.0,A,2007-2008
Manchester United,Sunderland,1.0,0.0,H,2007-2008
Arsenal,Portsmouth,3.0,1.0,H,2007-2008
Blackburn Rovers,Manchester City,1.0,0.0,H,2007-2008
Aston Villa,Chelsea,2.0,0.0,H,2007-2008
Everton,Manchester United,0.0,1.0,A,2007-2008
Portsmouth,Liverpool,0.0,0.0,D,2007-2008
Tottenham Hotspur,Arsenal,1.0,3.0,A,2007-2008
Birmingham City,Bolton Wanderers,1.0,0.0,H,2007-2008
Sunderland,Reading,2.0,1.0,H,2007-2008
West Ham United,Middlesbrough,3.0,0.0,H,2007-2008
Wigan Athletic,Fulham,1.0,1.0,D,2007-2008
Chelsea,Blackburn Rovers,0.0,0.0,D,2007-2008
Manchester City,Aston Villa,1.0,0.0,H,2007-2008
Derby County,Newcastle United,1.0,0.0,H,2007-2008
Arsenal,Derby County,5.0,0.0,H,2007-2008
Liverpool,Birmingham City,0.0,0.0,D,2007-2008
Middlesbrough,Sunderland,2.0,2.0,D,2007-2008
Reading,Wigan Athletic,2.0,1.0,H,2007-2008
Fulham,Manchester City,3.0,3.0,D,2007-2008
Newcastle United,West Ham United,3.0,1.0,H,2007-2008
Aston Villa,Everton,2.0,0.0,H,2007-2008
Blackburn Rovers,Portsmouth,0.0,1.0,A,2007-2008
Bolton Wanderers,Tottenham Hotspur,1.0,1.0,D,2007-2008
Manchester United,Chelsea,2.0,0.0,H,2007-2008
Manchester City,Newcastle United,3.0,1.0,H,2007-2008
Chelsea,Fulham,0.0,0.0,D,2007-2008
Derby County,Bolton Wanderers,1.0,1.0,D,2007-2008
Portsmouth,Reading,7.0,4.0,H,2007-2008
Sunderland,Blackburn Rovers,1.0,2.0,A,2007-2008
West Ham United,Arsenal,0.0,1.0,A,2007-2008
Wigan Athletic,Liverpool,0.0,1.0,A,2007-2008
Birmingham City,Manchester United,0.0,1.0,A,2007-2008
Everton,Middlesbrough,2.0,0.0,H,2007-2008
Tottenham Hotspur,Aston Villa,4.0,4.0,D,2007-2008
Manchester United,Wigan Athletic,4.0,0.0,H,2007-2008
Aston Villa,West Ham United,1.0,0.0,H,2007-2008
Arsenal,Sunderland,3.0,2.0,H,2007-2008
Reading,Derby County,1.0,0.0,H,2007-2008
Blackburn Rovers,Birmingham City,2.0,1.0,H,2007-2008
Bolton Wanderers,Chelsea,0.0,1.0,A,2007-2008
Liverpool,Tottenham Hotspur,2.0,2.0,D,2007-2008
Manchester City,Middlesbrough,3.0,1.0,H,2007-2008
Newcastle United,Everton,3.0,2.0,H,2007-2008
Fulham,Portsmouth,0.0,2.0,A,2007-2008
Everton,Liverpool,1.0,2.0,A,2007-2008
Arsenal,Bolton Wanderers,2.0,0.0,H,2007-2008
